id_maquina,antiguedad_anios,uso_semanal_h,temperatura_op_c,material,planta,turno,lote,proveedor,requiere_inspeccion
MQ-0757,6.4,50.0,67.9,polímero,Montevideo,mañana,L-6,PR-05,1
MQ-0811,10.6,17.5,54.6,acero,Montevideo,mañana,L-4,PR-08,0
MQ-0099,7.6,43.6,41.5,polímero,Montevideo,tarde,L-3,PR-07,0
MQ-0190,8.6,60.8,62.4,polímero,Salto,noche,L-5,PR-09,0
MQ-0621,6.2,44.4,64.6,acero,Canelones,mañana,L-4,PR-02,0
MQ-0221,6.5,18.4,61.8,aluminio,Canelones,mañana,L-4,PR-09,0
MQ-0976,12.5,49.5,54.6,polímero,Paysandú,noche,L-5,PR-02,1
MQ-0408,5.6,57.8,64.5,aluminio,Canelones,tarde,L-5,PR-04,1
MQ-1068,4.2,46.8,68.7,acero,Canelones,noche,L-3,PR-04,0
MQ-1175,7.7,34.8,81.5,aluminio,Montevideo,mañana,L-3,PR-12,0
MQ-0335,14.8,44.3,54.5,acero,Rivera,mañana,L-5,PR-04,1
MQ-0532,9.8,62.1,62.6,acero,Paysandú,noche,L-1,PR-07,1
MQ-0682,2.9,54.0,65.6,acero,Rivera,tarde,L-2,PR-10,0
MQ-0340,18.0,22.1,44.2,acero,Montevideo,mañana,L-6,PR-12,0
MQ-0558,10.9,25.0,63.1,aluminio,Montevideo,mañana,L-2,PR-09,0
MQ-0654,7.9,31.3,63.5,polímero,Montevideo,tarde,L-2,PR-11,0
MQ-0114,5.2,49.0,64.7,aluminio,Rivera,tarde,L-1,PR-12,1
MQ-0375,0.6,50.2,62.0,polímero,Canelones,mañana,L-6,PR-02,1
MQ-0217,18.0,67.5,47.2,acero,Salto,tarde,L-3,PR-09,1
MQ-0813,11.3,42.0,56.5,acero,Rivera,tarde,L-5,PR-05,0
MQ-0368,0.7,44.5,64.0,acero,Canelones,mañana,L-5,PR-01,0
MQ-1106,2.0,42.6,71.1,aluminio,Paysandú,tarde,L-3,PR-05,0
MQ-1086,3.6,28.7,60.2,acero,Canelones,mañana,L-2,PR-11,0
MQ-0998,1.0,46.5,52.2,acero,Rivera,noche,L-3,PR-02,0
MQ-0084,10.8,49.3,55.2,acero,Canelones,mañana,L-5,PR-02,1
MQ-0010,2.6,51.9,58.2,acero,Montevideo,tarde,L-3,PR-01,0
MQ-1096,5.9,31.9,41.4,aluminio,Rivera,tarde,L-3,PR-02,1
MQ-0054,3.3,52.2,55.0,aluminio,Montevideo,mañana,L-1,PR-06,1
MQ-0926,5.2,44.7,54.9,polímero,Canelones,tarde,L-6,PR-09,0
MQ-0337,4.4,22.7,61.6,aluminio,Montevideo,mañana,L-2,PR-02,0
MQ-0253,7.0,38.9,43.6,aluminio,Paysandú,tarde,L-3,PR-01,0
MQ-1017,1.2,58.5,49.9,polímero,Canelones,tarde,L-5,PR-10,1
MQ-0566,5.5,40.5,82.5,polímero,Montevideo,noche,L-3,PR-05,0
MQ-0786,8.4,38.3,59.9,aluminio,Montevideo,tarde,L-2,PR-08,1
MQ-0263,2.9,47.9,60.4,aluminio,Canelones,tarde,L-6,PR-05,0
MQ-0782,7.7,63.5,57.7,acero,Salto,mañana,L-4,PR-08,0
MQ-0834,13.0,61.1,58.9,polímero,Canelones,tarde,L-2,PR-01,1
MQ-0832,6.1,51.1,66.0,aluminio,Rivera,noche,L-4,PR-09,1
MQ-0643,1.8,46.7,53.5,polímero,Montevideo,mañana,L-6,PR-05,0
MQ-0879,8.5,32.8,56.4,polímero,Rivera,tarde,L-2,PR-10,1
MQ-0173,6.4,45.2,60.2,aluminio,Paysandú,tarde,L-5,PR-06,0
MQ-0279,6.0,14.2,59.0,acero,Canelones,mañana,L-2,PR-01,0
MQ-1091,7.0,36.4,51.9,aluminio,Canelones,tarde,L-5,PR-02,0
MQ-0552,12.7,33.0,61.4,aluminio,Rivera,mañana,L-6,PR-03,1
MQ-0206,10.5,35.8,47.3,acero,Salto,noche,L-3,PR-08,1
MQ-1021,10.8,50.8,60.0,aluminio,Montevideo,tarde,L-3,PR-02,1
MQ-0531,16.4,35.7,56.5,acero,Salto,noche,L-5,PR-11,1
MQ-0611,4.6,49.9,65.1,acero,Salto,mañana,L-5,PR-11,0
MQ-0055,7.6,44.5,63.1,acero,Paysandú,tarde,L-4,PR-01,0
MQ-0780,10.2,32.5,64.4,aluminio,Paysandú,noche,L-3,PR-06,1
MQ-0362,7.6,55.3,44.3,polímero,Canelones,noche,L-4,PR-03,1
MQ-0624,11.5,29.4,52.6,polímero,Rivera,tarde,L-3,PR-11,0
MQ-0858,1.4,50.9,54.3,acero,Salto,tarde,L-2,PR-10,0
MQ-1089,14.0,57.2,52.0,acero,Salto,tarde,L-1,PR-10,1
MQ-1013,1.8,37.1,54.1,acero,Montevideo,tarde,L-6,PR-01,0
MQ-0147,5.2,51.9,60.6,acero,Paysandú,mañana,L-4,PR-01,0
MQ-0921,6.7,27.6,45.9,acero,Paysandú,tarde,L-5,PR-11,0
MQ-0171,8.0,33.3,57.8,polímero,Montevideo,tarde,L-6,PR-07,0
MQ-0041,12.6,28.3,52.0,acero,Montevideo,tarde,L-4,PR-06,0
MQ-0535,7.8,47.4,66.4,polímero,Canelones,noche,L-6,PR-07,0
MQ-0501,4.9,47.5,57.5,aluminio,Rivera,tarde,L-3,PR-09,0
MQ-0419,7.9,38.1,65.9,polímero,Canelones,mañana,L-4,PR-10,0
MQ-0232,18.0,49.8,62.3,polímero,Canelones,tarde,L-3,PR-04,1
MQ-0102,8.6,59.6,51.9,polímero,Rivera,tarde,L-6,PR-12,1
MQ-0490,6.7,18.7,58.7,acero,Rivera,mañana,L-6,PR-05,0
MQ-0427,11.1,55.5,59.7,acero,Montevideo,tarde,L-5,PR-11,1
MQ-0327,5.7,36.2,50.2,polímero,Salto,noche,L-2,PR-06,0
MQ-0474,2.7,53.3,67.9,acero,Paysandú,mañana,L-4,PR-08,0
MQ-0791,8.8,19.2,49.6,polímero,Rivera,mañana,L-2,PR-02,0
MQ-0098,13.2,17.7,48.2,aluminio,Rivera,tarde,L-6,PR-09,0
MQ-0628,4.3,29.5,40.4,aluminio,Rivera,tarde,L-4,PR-05,0
MQ-0570,7.0,77.4,63.1,acero,Montevideo,tarde,L-4,PR-09,0
MQ-0949,2.4,47.4,64.3,acero,Salto,tarde,L-3,PR-06,0
MQ-0749,9.0,35.3,49.0,aluminio,Rivera,mañana,L-5,PR-02,1
MQ-1039,10.7,37.4,65.9,acero,Montevideo,noche,L-4,PR-08,1
MQ-0901,2.0,16.8,50.0,acero,Salto,tarde,L-3,PR-07,0
MQ-1082,4.7,42.3,65.1,acero,Canelones,noche,L-4,PR-05,1
MQ-0598,4.8,19.0,54.5,polímero,Paysandú,mañana,L-5,PR-01,0
MQ-0557,6.6,64.2,63.3,acero,Rivera,noche,L-5,PR-09,0
MQ-0698,18.0,30.4,51.7,acero,Rivera,tarde,L-3,PR-04,0
MQ-0755,5.2,47.2,64.8,polímero,Salto,mañana,L-1,PR-04,1
MQ-0541,10.1,65.7,65.6,acero,Montevideo,tarde,L-6,PR-11,1
MQ-0887,13.9,53.0,56.7,polímero,Montevideo,tarde,L-1,PR-10,1
MQ-0987,4.5,45.7,57.7,aluminio,Rivera,mañana,L-6,PR-08,0
MQ-0971,1.5,32.5,51.7,acero,Rivera,tarde,L-5,PR-11,0
MQ-0951,3.1,38.2,49.5,acero,Paysandú,tarde,L-6,PR-11,0
MQ-0180,6.7,30.3,41.5,aluminio,Montevideo,tarde,L-2,PR-07,0
MQ-1070,7.8,32.0,44.3,aluminio,Paysandú,tarde,L-6,PR-09,0
MQ-1117,14.6,40.7,60.1,acero,Montevideo,tarde,L-6,PR-12,1
MQ-0668,4.5,56.9,54.0,aluminio,Canelones,mañana,L-6,PR-05,1
MQ-0499,2.6,31.3,67.6,acero,Salto,noche,L-3,PR-04,0
MQ-0859,6.3,46.0,64.8,acero,Canelones,noche,L-3,PR-02,0
MQ-0665,6.5,38.9,65.9,polímero,Canelones,noche,L-6,PR-10,0
MQ-1174,4.7,28.0,64.0,acero,Canelones,noche,L-6,PR-01,0
MQ-0512,3.0,43.1,62.8,acero,Rivera,noche,L-5,PR-09,0
MQ-0018,6.9,38.0,68.0,polímero,Montevideo,mañana,L-2,PR-02,0
MQ-0604,3.3,51.3,60.8,polímero,Canelones,mañana,L-2,PR-02,1
MQ-0254,2.8,48.0,44.7,acero,Paysandú,mañana,L-4,PR-03,0
MQ-0416,5.3,33.9,52.4,acero,Rivera,tarde,L-6,PR-02,0
MQ-0740,10.7,61.1,67.2,acero,Montevideo,mañana,L-4,PR-01,1
MQ-0510,2.6,41.3,62.8,aluminio,Rivera,mañana,L-4,PR-11,1
MQ-0508,6.7,26.3,50.6,polímero,Montevideo,tarde,L-2,PR-12,0
MQ-0688,3.9,38.2,62.4,acero,Rivera,mañana,L-6,PR-04,0
MQ-0286,2.7,66.1,72.0,aluminio,Canelones,mañana,L-5,PR-09,1
MQ-0356,9.8,40.3,52.3,aluminio,Salto,noche,L-4,PR-02,1
MQ-0793,5.1,41.8,47.5,acero,Salto,mañana,L-2,PR-01,0
MQ-0452,2.4,51.2,53.8,acero,Montevideo,tarde,L-1,PR-09,0
MQ-0587,9.1,61.7,64.6,acero,Canelones,noche,L-6,PR-11,1
MQ-0709,4.9,46.4,50.4,acero,Salto,tarde,L-6,PR-09,0
MQ-0326,4.4,51.4,64.4,polímero,Rivera,noche,L-6,PR-06,1
MQ-0109,5.7,62.3,68.5,aluminio,Rivera,tarde,L-2,PR-09,1
MQ-1018,7.0,30.9,70.2,aluminio,Montevideo,tarde,L-4,PR-08,0
MQ-1053,3.3,45.5,57.4,acero,Canelones,mañana,L-6,PR-12,1
MQ-0956,9.3,24.2,52.3,aluminio,Montevideo,mañana,L-3,PR-09,0
MQ-0100,5.9,40.5,53.3,aluminio,Canelones,mañana,L-1,PR-10,0
MQ-1183,16.8,72.3,56.2,aluminio,Montevideo,noche,L-6,PR-11,1
MQ-0205,11.5,43.7,46.4,aluminio,Salto,mañana,L-4,PR-12,1
MQ-0680,8.0,28.4,53.7,aluminio,Salto,tarde,L-4,PR-06,0
MQ-1055,1.2,51.1,39.6,aluminio,Rivera,tarde,L-4,PR-01,1
MQ-0852,15.8,52.1,77.3,acero,Salto,noche,L-1,PR-02,1
MQ-0734,2.8,19.7,56.0,acero,Montevideo,noche,L-5,PR-06,0
MQ-1200,7.5,47.2,55.4,polímero,Rivera,noche,L-2,PR-10,0
MQ-1051,8.6,20.9,49.4,aluminio,Rivera,tarde,L-5,PR-08,0
MQ-0856,6.3,58.3,74.5,aluminio,Paysandú,tarde,L-6,PR-05,1
MQ-0965,9.2,29.0,48.5,aluminio,Paysandú,tarde,L-4,PR-08,1
MQ-1179,7.2,25.5,46.4,acero,Canelones,tarde,L-3,PR-01,0
MQ-0264,1.4,41.0,66.9,polímero,Montevideo,tarde,L-2,PR-01,0
MQ-0964,4.7,35.5,58.9,aluminio,Canelones,tarde,L-1,PR-10,0
MQ-0285,4.0,22.7,56.0,aluminio,Montevideo,noche,L-6,PR-05,0
MQ-0024,4.8,64.6,69.5,acero,Paysandú,tarde,L-1,PR-04,0
MQ-0833,13.0,72.8,52.0,polímero,Paysandú,tarde,L-1,PR-04,1
MQ-0229,13.8,49.0,42.3,acero,Montevideo,mañana,L-6,PR-04,1
MQ-0666,6.3,54.7,63.5,aluminio,Paysandú,tarde,L-1,PR-12,1
MQ-0938,13.7,46.6,56.8,polímero,Salto,tarde,L-1,PR-07,1
MQ-0870,1.0,38.7,56.6,acero,Canelones,mañana,L-6,PR-03,0
MQ-0265,3.9,60.2,55.5,polímero,Paysandú,mañana,L-6,PR-02,1
MQ-0124,6.0,58.2,66.7,acero,Salto,tarde,L-1,PR-09,0
MQ-1119,1.3,17.1,42.8,aluminio,Canelones,mañana,L-6,PR-10,0
MQ-1084,3.7,54.4,53.7,acero,Montevideo,mañana,L-2,PR-10,0
MQ-1071,10.1,47.8,48.7,polímero,Rivera,noche,L-1,PR-09,1
MQ-0650,7.1,62.4,71.5,acero,Salto,noche,L-5,PR-02,0
MQ-0271,5.4,41.8,50.7,polímero,Salto,mañana,L-4,PR-04,0
MQ-0507,2.8,37.9,50.4,aluminio,Paysandú,tarde,L-4,PR-10,0
MQ-0721,6.4,56.8,59.3,acero,Salto,noche,L-3,PR-06,0
MQ-0453,10.7,13.3,52.5,acero,Salto,mañana,L-3,PR-10,1
MQ-0801,9.5,78.2,62.6,aluminio,Montevideo,mañana,L-4,PR-05,1
MQ-0071,9.1,59.3,59.9,aluminio,Salto,noche,L-4,PR-07,1
MQ-0526,1.7,49.5,61.7,acero,Canelones,tarde,L-1,PR-03,1
MQ-0397,9.9,49.5,57.5,acero,Salto,noche,L-2,PR-03,1
MQ-0172,8.6,72.3,54.0,aluminio,Montevideo,noche,L-2,PR-03,1
MQ-1199,14.8,33.6,68.1,aluminio,Paysandú,tarde,L-1,PR-10,1
MQ-0169,15.4,47.5,47.9,aluminio,Salto,tarde,L-6,PR-02,1
MQ-0549,1.9,71.2,72.1,aluminio,Paysandú,mañana,L-3,PR-09,1
MQ-0306,5.0,50.9,63.5,acero,Canelones,noche,L-2,PR-05,0
MQ-0632,4.2,21.5,38.9,acero,Canelones,mañana,L-5,PR-11,0
MQ-0126,16.5,47.4,60.0,polímero,Canelones,tarde,L-1,PR-06,1
MQ-0846,4.2,38.4,63.9,polímero,Salto,mañana,L-6,PR-11,0
MQ-0284,11.6,61.9,61.0,polímero,Montevideo,noche,L-3,PR-09,1
MQ-0165,2.9,56.6,62.7,acero,Montevideo,mañana,L-5,PR-01,0
MQ-0767,14.6,52.2,68.9,acero,Paysandú,noche,L-2,PR-04,1
MQ-0493,7.6,52.2,55.9,acero,Montevideo,tarde,L-6,PR-11,0
MQ-0808,7.1,29.4,47.0,aluminio,Canelones,tarde,L-2,PR-10,0
MQ-0043,8.3,47.0,44.2,aluminio,Paysandú,noche,L-2,PR-12,1
MQ-0752,9.5,42.4,63.4,aluminio,Montevideo,tarde,L-4,PR-01,1
MQ-0880,5.0,37.5,57.8,aluminio,Montevideo,mañana,L-1,PR-03,0
MQ-0410,5.4,32.0,57.1,polímero,Rivera,mañana,L-6,PR-03,0
MQ-0133,2.9,37.6,43.8,aluminio,Montevideo,noche,L-1,PR-12,0
MQ-1139,3.4,59.6,77.4,polímero,Canelones,tarde,L-5,PR-02,1
MQ-0509,6.0,39.3,60.9,acero,Montevideo,mañana,L-5,PR-12,0
MQ-0039,14.9,33.8,61.5,aluminio,Canelones,noche,L-2,PR-06,1
MQ-1057,1.6,8.0,68.4,aluminio,Montevideo,mañana,L-2,PR-07,0
MQ-0564,8.2,27.6,65.8,acero,Canelones,noche,L-3,PR-04,0
MQ-0572,5.6,32.7,51.1,polímero,Paysandú,tarde,L-1,PR-06,0
MQ-0935,3.3,66.6,68.2,acero,Montevideo,tarde,L-6,PR-07,0
MQ-0891,7.0,36.6,48.6,acero,Canelones,tarde,L-6,PR-10,0
MQ-0878,1.1,36.1,62.2,acero,Salto,mañana,L-3,PR-09,0
MQ-0871,5.8,41.2,40.4,aluminio,Paysandú,noche,L-1,PR-05,0
MQ-0014,8.3,45.1,49.7,polímero,Canelones,tarde,L-1,PR-07,1
MQ-0167,11.7,47.1,62.8,aluminio,Salto,mañana,L-4,PR-01,0
MQ-0519,7.3,37.9,52.8,polímero,Paysandú,noche,L-1,PR-04,0
MQ-0225,18.0,44.2,66.4,polímero,Canelones,tarde,L-4,PR-05,1
MQ-0307,5.7,43.8,64.1,polímero,Montevideo,tarde,L-2,PR-08,0
MQ-0876,18.0,41.2,58.8,polímero,Montevideo,noche,L-2,PR-12,1
MQ-0352,16.3,60.5,62.7,aluminio,Paysandú,mañana,L-5,PR-10,0
MQ-0373,8.3,47.0,63.6,acero,Montevideo,tarde,L-4,PR-02,1
MQ-1020,7.5,51.6,60.3,acero,Rivera,mañana,L-3,PR-03,0
MQ-0021,12.2,42.2,59.5,acero,Canelones,tarde,L-4,PR-02,1
MQ-1161,11.4,24.6,57.4,aluminio,Canelones,mañana,L-4,PR-02,0
MQ-0072,9.6,22.0,56.5,polímero,Rivera,mañana,L-5,PR-11,0
MQ-0559,8.1,61.7,66.2,aluminio,Salto,noche,L-2,PR-12,0
MQ-0364,3.2,48.2,56.3,acero,Rivera,noche,L-2,PR-07,1
MQ-0061,13.0,44.4,63.3,acero,Canelones,tarde,L-4,PR-02,1
MQ-0351,8.3,49.6,67.5,acero,Montevideo,mañana,L-6,PR-11,1
MQ-0111,3.1,73.2,76.2,acero,Salto,tarde,L-1,PR-10,0
MQ-0005,1.9,49.2,65.7,polímero,Paysandú,noche,L-3,PR-07,1
MQ-0309,4.3,39.8,79.3,aluminio,Montevideo,mañana,L-5,PR-02,0
MQ-0610,10.1,53.4,71.9,acero,Canelones,tarde,L-4,PR-03,1
MQ-0837,4.2,43.7,50.2,acero,Rivera,noche,L-5,PR-09,0
MQ-0345,5.1,58.0,63.6,polímero,Montevideo,tarde,L-2,PR-12,1
MQ-1121,7.9,45.1,46.0,acero,Montevideo,noche,L-2,PR-11,1
MQ-0290,3.4,60.2,51.0,aluminio,Montevideo,tarde,L-1,PR-05,1
MQ-0479,7.9,51.1,45.4,aluminio,Canelones,noche,L-2,PR-09,1
MQ-0386,1.8,38.4,71.2,aluminio,Canelones,mañana,L-3,PR-02,0
MQ-0774,5.3,44.2,64.5,acero,Canelones,tarde,L-5,PR-01,0
MQ-1059,13.2,47.7,52.9,acero,Montevideo,mañana,L-1,PR-08,1
MQ-1034,18.0,64.9,65.4,acero,Salto,mañana,L-6,PR-01,1
MQ-0892,11.7,39.5,49.9,acero,Salto,mañana,L-6,PR-03,1
MQ-0095,3.7,33.7,60.6,aluminio,Canelones,tarde,L-6,PR-04,0
MQ-0096,5.8,52.2,48.4,acero,Rivera,noche,L-6,PR-07,0
MQ-0954,18.0,52.6,59.6,acero,Salto,tarde,L-6,PR-07,1
MQ-1134,12.8,34.3,68.3,polímero,Montevideo,noche,L-4,PR-05,1
MQ-0667,6.8,29.5,43.0,acero,Canelones,noche,L-5,PR-06,0
MQ-0732,11.0,36.7,55.7,polímero,Salto,noche,L-6,PR-07,1
MQ-0893,8.3,48.7,72.1,acero,Canelones,mañana,L-1,PR-12,1
MQ-0485,11.9,32.6,57.0,aluminio,Montevideo,mañana,L-6,PR-09,1
MQ-1154,5.9,60.7,54.8,aluminio,Montevideo,mañana,L-3,PR-06,1
MQ-0059,2.2,41.2,66.6,acero,Montevideo,noche,L-3,PR-03,0
MQ-0208,1.6,56.4,59.5,acero,Rivera,tarde,L-3,PR-06,0
MQ-0409,8.3,69.4,60.4,aluminio,Montevideo,noche,L-5,PR-01,1
MQ-0380,4.7,51.6,65.8,acero,Montevideo,tarde,L-4,PR-02,0
MQ-0413,1.9,36.9,56.7,acero,Montevideo,mañana,L-1,PR-07,0
MQ-0025,12.5,58.7,62.3,acero,Montevideo,mañana,L-3,PR-09,1
MQ-1010,11.4,63.0,59.9,acero,Canelones,mañana,L-6,PR-01,0
MQ-0245,8.5,43.6,69.0,polímero,Canelones,tarde,L-2,PR-04,1
MQ-0026,3.5,28.2,58.4,acero,Rivera,noche,L-2,PR-05,0
MQ-0223,0.9,64.5,55.4,acero,Rivera,mañana,L-1,PR-12,0
MQ-0884,2.2,39.2,55.5,polímero,Paysandú,mañana,L-2,PR-04,0
MQ-1006,7.4,50.1,53.6,aluminio,Paysandú,noche,L-1,PR-04,1
MQ-1067,7.3,41.3,57.3,aluminio,Canelones,noche,L-5,PR-04,0
MQ-0131,8.4,18.0,47.7,aluminio,Montevideo,mañana,L-1,PR-11,0
MQ-0154,18.0,28.7,63.2,aluminio,Montevideo,mañana,L-4,PR-03,0
MQ-1024,12.0,32.5,54.0,polímero,Montevideo,tarde,L-2,PR-11,1
MQ-0930,6.5,66.7,51.5,acero,Paysandú,noche,L-2,PR-01,0
MQ-0494,2.0,8.2,51.3,polímero,Montevideo,mañana,L-1,PR-07,0
MQ-1050,3.9,26.4,57.8,aluminio,Canelones,mañana,L-3,PR-08,0
MQ-0076,3.0,49.4,71.3,aluminio,Paysandú,mañana,L-1,PR-10,1
MQ-0902,3.4,61.6,43.5,aluminio,Paysandú,tarde,L-3,PR-04,1
MQ-1052,4.5,28.6,65.4,aluminio,Montevideo,mañana,L-5,PR-01,0
MQ-0317,2.9,46.5,69.7,aluminio,Paysandú,mañana,L-2,PR-03,0
MQ-0963,6.5,40.2,53.8,acero,Paysandú,tarde,L-6,PR-04,0
MQ-0942,5.0,24.9,49.0,acero,Montevideo,noche,L-5,PR-09,1
MQ-0634,8.0,41.9,62.9,acero,Montevideo,tarde,L-5,PR-11,0
MQ-0200,5.5,48.5,48.8,acero,Canelones,tarde,L-4,PR-04,0
MQ-1015,15.8,54.0,67.7,polímero,Montevideo,mañana,L-1,PR-02,1
MQ-0135,4.5,57.6,67.4,acero,Paysandú,tarde,L-4,PR-03,0
MQ-0627,12.7,68.4,62.2,acero,Salto,mañana,L-1,PR-01,1
MQ-0260,4.1,40.0,71.7,aluminio,Canelones,tarde,L-4,PR-11,0
MQ-0591,13.1,57.9,67.7,polímero,Canelones,tarde,L-2,PR-07,1
MQ-0004,1.0,39.4,64.5,aluminio,Montevideo,mañana,L-1,PR-06,0
MQ-0960,4.9,35.0,49.1,aluminio,Montevideo,tarde,L-3,PR-04,0
MQ-0504,5.5,40.1,53.5,acero,Rivera,noche,L-1,PR-02,0
MQ-0197,18.0,47.5,61.1,acero,Montevideo,tarde,L-2,PR-06,1
MQ-0657,10.7,46.6,72.4,aluminio,Salto,tarde,L-4,PR-05,1
MQ-0569,3.7,73.6,55.8,aluminio,Salto,noche,L-2,PR-03,1
MQ-0027,8.7,77.6,62.2,acero,Montevideo,tarde,L-6,PR-12,1
MQ-1104,3.3,48.5,53.8,polímero,Montevideo,noche,L-6,PR-12,0
MQ-0456,9.2,36.4,61.5,polímero,Paysandú,mañana,L-5,PR-03,0
MQ-1111,4.0,58.7,59.2,acero,Rivera,mañana,L-2,PR-10,0
MQ-0619,3.5,48.8,58.1,aluminio,Salto,mañana,L-5,PR-07,1
MQ-0062,15.1,58.6,64.6,aluminio,Salto,mañana,L-4,PR-10,1
MQ-1130,6.5,65.5,55.5,aluminio,Canelones,mañana,L-5,PR-05,1
MQ-0994,12.7,20.4,53.8,aluminio,Rivera,noche,L-3,PR-05,0
MQ-0658,15.3,47.4,48.8,acero,Canelones,tarde,L-4,PR-12,1
MQ-0725,0.8,48.0,57.4,acero,Canelones,mañana,L-3,PR-07,1
MQ-0745,18.0,71.2,63.5,aluminio,Rivera,mañana,L-2,PR-11,1
MQ-0686,8.7,59.8,48.1,aluminio,Montevideo,noche,L-6,PR-08,1
MQ-0378,6.5,48.9,57.1,acero,Montevideo,mañana,L-3,PR-12,0
MQ-1014,5.4,33.7,41.5,acero,Paysandú,tarde,L-1,PR-07,0
MQ-0432,1.5,50.5,66.0,aluminio,Paysandú,noche,L-6,PR-08,1
MQ-0849,8.1,65.2,61.7,polímero,Montevideo,tarde,L-3,PR-09,1
MQ-0009,7.9,33.8,43.7,polímero,Montevideo,tarde,L-3,PR-09,0
MQ-0489,1.3,32.6,65.9,aluminio,Salto,noche,L-4,PR-03,0
MQ-0586,6.6,59.1,83.9,acero,Rivera,mañana,L-4,PR-02,0
MQ-1025,5.4,28.1,56.3,polímero,Montevideo,tarde,L-5,PR-02,0
MQ-1146,6.3,55.5,78.0,acero,Rivera,mañana,L-6,PR-08,0
MQ-0741,2.7,56.8,71.0,acero,Rivera,tarde,L-1,PR-08,0
MQ-0789,9.5,43.5,72.9,acero,Paysandú,mañana,L-3,PR-02,1
MQ-0446,9.2,50.5,58.4,polímero,Paysandú,tarde,L-4,PR-11,1
MQ-0075,10.5,44.0,65.3,aluminio,Montevideo,tarde,L-4,PR-10,1
MQ-0542,8.7,25.2,62.5,acero,Canelones,mañana,L-6,PR-06,0
MQ-0058,12.1,50.5,61.3,polímero,Montevideo,tarde,L-1,PR-07,1
MQ-1114,11.5,37.2,74.3,aluminio,Paysandú,mañana,L-6,PR-05,1
MQ-0735,10.6,37.1,49.9,aluminio,Salto,tarde,L-3,PR-12,1
MQ-0298,5.3,44.0,68.0,aluminio,Canelones,mañana,L-1,PR-11,0
MQ-0844,6.6,47.0,50.7,acero,Montevideo,noche,L-4,PR-05,0
MQ-0218,9.4,50.6,70.9,acero,Salto,tarde,L-5,PR-03,1
MQ-0704,3.7,32.1,67.2,acero,Salto,tarde,L-6,PR-07,0
