id_registro,id_maquina,planta,modelo_equipo,turno,antiguedad_meses,horas_operacion,n_mantenimientos_previos,temperatura_c,vibracion_mm_s,presion_bar,consumo_kwh,costo_reparacion_usd,fallo
2878,MQ-0171,Sur,XR-350,mañana,39.0,5565.0,2,74.26,2.509,5.95,,,0
1051,MQ-0045,Sur,XR-200,noche,56.0,10607.0,2,70.39,1.743,6.67,664.6,,0
2440,MQ-0117,Sur,tl120,mañana,27.0,4790.0,0,83.66,2.405,6.17,482.3,,0
2336,MQ-0085,Oeste,TL-90,mañana,92.0,15719.0,3,72.24,1.403,5.53,774.0,,0
3363,MQ-0011,Sur,xr200,tarde,30.0,3257.0,2,64.43,3.016,5.73,,,0
1219,MQ-0154,Oeste,TL-90,noche,10.0,1898.0,1,84.57,1.009,6.07,,,0
514,MQ-0005,Este,XR-350,tarde,42.0,6335.0,2,67.19,1.987,6.13,539.5,,0
3062,MQ-0170,Norte,XR 200,noche,33.0,6241.0,1,82.71,1.605,5.59,654.6,,0
3905,MQ-0063,Norte, XR-200 ,mañana,8.0,517.0,1,64.95,1.942,7.39,518.6,,0
3293,MQ-0151,Norte,XR-350,noche,55.0,11671.0,2,64.24,,7.41,600.5,,0
326,MQ-0053,Norte,TL-120,mañana,78.0,14102.0,2,,2.121,5.32,687.1,,0
52,MQ-0034,Este,TL-90,mañana,43.0,9332.0,2,88.82,1.978,6.69,802.8,,0
2750,MQ-0035,Sur,TL-120,mañana,22.0,3350.0,0,61.16,,5.83,397.3,,0
1096,MQ-0023,Este,TL-90,tarde,9.0,3873.0,0,66.47,2.641,6.72,565.1,,0
3992,MQ-0080,Sur,XR-350,tarde,44.0,7778.0,3,85.7,1.236,6.33,670.2,,0
1306,MQ-0123,Oeste,tl120,mañana,97.0,17635.0,9,83.57,1.273,5.72,,,0
641,MQ-0016,Sur,TL-90,noche,39.0,5315.0,2,64.62,2.403,6.27,,,0
3581,MQ-0175,Este,TL-120,mañana,40.0,5234.0,0,83.06,2.727,5.58,563.6,,0
3156,MQ-0020,Norte,xr200,noche,46.0,8590.0,4,,,6.1,654.3,,0
2018,MQ-0004,Sur,TL-90,mañana,47.0,9862.0,5,64.46,2.181,6.39,585.8,1003.05,1
769,MQ-0005,Norte,XR-200,noche,32.0,4572.0,0,86.87,1.963,5.79,655.2,,0
1269,MQ-0059,Oeste,XR-350,tarde,16.0,3172.0,0,86.12,0.999,6.96,617.6,,0
3809,MQ-0021,Norte,TL-120,mañana,49.0,9724.0,2,84.57,1.613,5.29,722.5,,0
4075,MQ-0164,Este,TL-90,mañana,41.0,3733.0,2,78.3,2.913,6.94,568.7,,0
3852,MQ-0037,Norte,XR-200,mañana,14.0,4726.0,1,80.54,,6.58,522.8,,0
3686,MQ-0075,Oeste,XR-200,mañana,14.0,2492.0,1,81.72,1.696,6.5,,,0
652,MQ-0012,Norte,TL-90,noche,25.0,2145.0,2,87.6,,6.87,573.8,,0
2312,MQ-0134,Norte,XR-350,tarde,20.0,930.0,1,61.02,2.557,6.15,465.8,,0
3903,MQ-0013,Norte,XR-200,tarde,88.0,12535.0,4,66.44,2.846,7.16,717.5,,0
3755,MQ-0137,Sur,TL-90,mañana,35.0,5831.0,0,80.84,2.201,5.97,560.0,3455.93,1
3688,MQ-0062,Norte,TL-90,tarde,73.0,12073.0,3,79.93,7.613,6.43,728.7,1328.74,1
2980,MQ-0134,Sur,XR-350,noche,35.0,8834.0,3,65.68,1.987,7.02,667.9,,0
702,MQ-0091,Sur,XR-200,tarde,81.0,15019.0,7,67.05,1.525,7.84,660.4,,0
3599,MQ-0056,Norte,TL-120,tarde,49.0,9885.0,2,62.12,3.683,6.45,508.7,,0
1833,MQ-0091,Norte,TL-90,tarde,82.0,14943.0,2,76.94,1.763,6.13,789.1,,0
451,MQ-0042,Norte,XR-200,tarde,37.0,9006.0,1,83.77,1.91,6.95,644.4,,0
1033,MQ-0021,Norte,TL-90,tarde,52.0,9048.0,2,63.54,1.633,5.98,547.5,,0
1454,MQ-0176,Norte,TL-120,tarde,59.0,8224.0,4,68.74,5.028,5.5,613.6,,0
3356,MQ-0101,Este,XR-350,mañana,61.0,7183.0,5,78.38,2.513,6.14,625.9,,0
3304,MQ-0060,Oeste,XR-350,tarde,48.0,13586.0,1,68.44,2.285,6.12,685.8,,0
2671,MQ-0029,Oeste,TL-120,mañana,34.0,3844.0,1,72.35,1.268,6.09,574.7,,0
1694,MQ-0069,Este,XR-200,tarde,153.0,27102.0,13,86.44,1.559,6.16,1081.6,,0
668,MQ-0071,Este,XR 350,tarde,16.0,4657.0,0,61.53,0.643,7.48,435.6,,0
719,MQ-0179,Este,TL-120,mañana,31.0,8198.0,3,79.55,1.344,6.24,618.7,,0
1645,MQ-0008,Sur,XR-350,tarde,38.0,5469.0,3,80.64,1.542,6.92,564.6,,0
3703,MQ-0084,Norte,TL-90,noche,19.0,1944.0,0,70.59,1.672,6.55,479.0,,0
1087,MQ-0030,Norte,XR-350,mañana,33.0,7087.0,0,82.63,1.78,7.27,,,0
1980,MQ-0069,Norte,XR-200,mañana,20.0,1879.0,0,85.39,1.348,6.18,,,0
1551,MQ-0168,Norte,XR-200,noche,20.0,526.0,2,66.41,,5.88,344.8,,0
2462,MQ-0157,Norte,TL 90,mañana,25.0,4519.0,2,64.93,1.891,5.94,547.9,,0
454,MQ-0056,Este,TL-90,noche,51.0,11197.0,2,66.33,2.913,5.51,587.9,,0
4097,MQ-0102,Oeste,XR-350,tarde,30.0,4061.0,0,64.18,1.677,7.85,525.3,,0
512,MQ-0107,Sur,XR-200,tarde,44.0,6849.0,1,64.82,1.575,6.37,460.6,,0
4051,MQ-0040,Norte,XR-200,mañana,72.0,11314.0,4,84.5,1.315,6.58,,,0
801,MQ-0036,Oeste,TL-120,tarde,47.0,8138.0,3,64.06,1.672,6.05,583.5,,0
3744,MQ-0012,Este,xr350,tarde,33.0,5955.0,3,66.2,1.238,6.94,433.6,,0
2923,MQ-0140,Norte,XR-200,tarde,18.0,2265.0,3,72.76,4.239,7.01,346.4,3644.7,1
3921,MQ-0005,Este, XR-200 ,mañana,28.0,5643.0,0,69.09,1.657,5.66,559.4,,0
2022,MQ-0161,Sur,bm500,mañana,38.0,8124.0,1,80.65,1.254,7.44,627.3,,0
2044,MQ-0155,Norte,XR 350,mañana,42.0,9811.0,3,68.45,0.655,8.07,555.5,,0
3093,MQ-0140,Este,XR-200,mañana,44.0,9421.0,4,61.52,0.953,6.8,656.8,,0
695,MQ-0100,Este,XR-350,noche,67.0,12193.0,4,69.4,2.145,4.38,826.1,,0
2949,MQ-0122,Norte,TL-90,mañana,74.0,12151.0,1,68.7,1.184,6.37,719.5,,0
2811,MQ-0067,Este,TL-120,noche,30.0,5133.0,1,81.72,,6.21,568.1,,0
3144,MQ-0040,Oeste,XR-350,mañana,68.0,10389.0,4,68.39,2.528,5.0,667.6,,0
3508,MQ-0168,Norte,XR-200,noche,79.0,14955.0,3,81.23,1.497,7.11,756.0,,0
2294,MQ-0060,Norte,XR-350,noche,74.0,10803.0,2,78.51,1.691,6.83,674.6,,0
2932,MQ-0056,Sur, XR-350 ,tarde,24.0,1040.0,0,,10.008,5.86,541.8,4146.47,1
99,MQ-0075,Este,XR-350,noche,85.0,16608.0,6,69.53,3.505,6.41,755.0,,0
2389,MQ-0075,Norte,TL-120,noche,35.0,4729.0,3,87.0,,6.61,639.6,,0
2448,MQ-0124,Sur,XR-200,mañana,28.0,9001.0,2,63.99,1.718,5.46,590.0,,0
2881,MQ-0151,Norte,XR-200,mañana,9.0,50.0,0,85.92,2.933,4.91,437.6,,0
1967,MQ-0116,Este,TL-90,mañana,24.0,2280.0,1,65.31,1.926,6.03,485.7,,0
445,MQ-0037,Sur,XR-350,noche,33.0,6786.0,1,83.15,,5.98,652.1,,0
1263,MQ-0017,Oeste,tl120,tarde,25.0,260760.0,1,63.92,1.34,5.35,483.9,,0
195,MQ-0025,Norte,TL-120,noche,53.0,10376.0,1,60.77,3.743,6.1,513.6,,0
2074,MQ-0080,Oeste,TL 90,mañana,23.0,2579.0,2,64.32,1.956,6.06,406.2,,0
1681,MQ-0078,Norte, XR-350 ,tarde,102.0,15694.0,2,59.88,1.488,6.61,642.9,,0
2911,MQ-0097,Norte,XR-200,mañana,26.0,1236.0,1,82.63,3.222,5.4,578.7,,0
3645,MQ-0074,Sur,tl90,mañana,19.0,50.0,0,86.89,1.289,5.54,514.1,,0
3166,MQ-0161,Norte,BM-500,noche,36.0,5725.0,0,64.62,1.76,6.44,463.6,,0
2058,MQ-0089,Oeste,XR-350,mañana,49.0,9395.0,3,95.24,7.618,5.9,757.0,2146.98,1
1633,MQ-0071,Norte,TL-120,tarde,37.0,3207.0,0,64.72,1.177,6.03,463.6,,0
3480,MQ-0138,Norte,TL-120,tarde,55.0,7871.0,5,67.42,3.395,6.81,601.6,,0
2247,MQ-0033,Norte,XR 200,mañana,44.0,7570.0,3,78.94,2.42,7.08,681.7,,0
2452,MQ-0172,Sur,bm500,noche,34.0,5594.0,2,,2.828,4.43,771.7,,0
475,MQ-0067,Norte,tl120,noche,53.0,10298.0,6,65.23,2.051,6.09,556.3,,0
1766,MQ-0024,Norte,TL-90,noche,88.0,9416.0,1,56.05,,6.21,430.3,1964.64,1
1388,MQ-0009,Oeste,XR-200,tarde,42.0,10360.0,1,64.41,3.068,5.79,534.6,,0
706,MQ-0154,Norte,TL-120,mañana,60.0,12991.0,1,85.12,1.07,6.03,842.6,,0
163,MQ-0129,Oeste,TL-120,mañana,30.0,3784.0,0,65.84,1.811,6.54,568.1,,0
1176,MQ-0047,Norte,XR 350,tarde,28.0,5813.0,1,65.28,1.667,5.97,596.4,,0
1321,MQ-0055,Este,TL-120,mañana,27.0,8772.0,1,85.15,2.873,4.24,802.8,,0
1243,MQ-0035,Este,TL-120,noche,25.0,3461.0,1,66.24,2.547,6.41,467.5,,0
1492,MQ-0070,Norte,BM-500,mañana,34.0,2826.0,0,64.01,2.08,6.43,518.0,,0
2984,MQ-0177,Este,TL-120,tarde,46.0,7019.0,4,81.08,3.406,6.0,649.1,,0
565,MQ-0055,Norte,XR-350,tarde,81.0,12473.0,0,80.96,2.939,7.64,761.5,,0
4181,MQ-0141,Este,XR-200,tarde,55.0,700140.0,0,69.02,1.448,5.02,690.1,,0
2282,MQ-0044,Oeste,TL-90,tarde,64.0,9778.0,0,84.07,0.772,5.89,743.8,,0
1423,MQ-0163,Sur,TL-90,mañana,10.0,1124.0,0,,1.36,5.89,580.2,,0
1383,MQ-0044,Sur,XR-200,noche,37.0,6098.0,3,80.76,2.234,5.72,688.4,,0
3088,MQ-0129,Este,XR-200,noche,38.0,6080.0,1,79.64,1.416,7.59,661.5,,0
884,MQ-0174,Oeste,TL-90,tarde,32.0,4958.0,1,87.27,4.932,7.14,553.9,1244.72,1
2231,MQ-0133,Norte, XR-350 ,mañana,51.0,6819.0,4,68.05,2.005,4.14,464.8,,0
922,MQ-0177,Sur,TL-90,tarde,10.0,3076.0,0,63.9,1.748,5.3,470.9,,0
2142,MQ-0006,Norte,XR-350,tarde,79.0,13959.0,3,79.56,1.018,6.05,772.3,,0
890,MQ-0069,Este,XR-350,noche,13.0,1863.0,0,61.78,1.25,6.85,482.8,,0
3610,MQ-0047,Este,TL-90,noche,24.0,5613.0,2,67.29,,6.59,480.4,,0
3820,MQ-0021,Oeste,XR-350,noche,72.0,12737.0,3,66.32,2.32,5.96,779.0,,0
2422,MQ-0166,Norte,XR-200,mañana,22.0,6570.0,0,62.56,1.751,5.31,480.4,,0
439,MQ-0016,Este,TL-90,noche,99.0,14548.0,2,70.74,1.786,5.07,639.5,,0
3931,MQ-0160,Sur,TL-90,mañana,45.0,8863.0,1,66.77,4.064,6.19,520.6,,0
2742,MQ-0109,Norte,TL 120,tarde,61.0,12491.0,5,67.66,3.05,5.88,641.6,,0
3065,MQ-0082,Norte,XR-200,noche,31.0,4499.0,3,72.41,1.089,5.85,523.4,,0
1258,MQ-0161,Este,XR-200,noche,25.0,3288.0,0,60.1,1.528,5.3,391.9,,0
2349,MQ-0064,Norte,xr200,mañana,46.0,8790.0,1,66.54,1.728,5.35,678.3,,0
2950,MQ-0108,Sur,TL-90,mañana,50.0,8625.0,3,67.01,2.183,5.56,543.6,1416.19,1
1590,MQ-0027,Oeste,TL-120,tarde,14.0,3587.0,0,86.36,2.265,6.03,692.4,,0
3068,MQ-0089,Norte,TL-90,noche,64.0,7483.0,3,68.82,,6.33,549.7,,0
319,MQ-0025,Norte, XR-350 ,tarde,18.0,1929.0,2,59.83,1.805,5.39,437.5,,0
1749,MQ-0060,Norte,XR-200,noche,29.0,8727.0,2,75.15,3.05,5.69,684.6,,0
1507,MQ-0134,Sur,XR-200,mañana,28.0,3284.0,4,82.1,1.7,6.69,525.6,,0
3433,MQ-0173,Norte,xr350,tarde,20.0,5642.0,1,63.31,2.85,5.29,444.1,,0
3953,MQ-0127,Sur,xr200,tarde,65.0,10873.0,6,83.58,1.421,5.69,750.3,,0
2997,MQ-0163,Sur,XR-350,tarde,29.0,6973.0,0,60.46,2.614,6.65,533.1,,0
972,MQ-0067,Oeste,XR-200,mañana,73.0,13950.0,3,82.12,4.779,6.32,905.4,4060.54,1
276,MQ-0149,Sur,TL-90,tarde,78.0,11308.0,8,82.77,1.526,6.59,675.4,,0
3481,MQ-0085,Norte,TL-120,mañana,25.0,3901.0,0,68.57,1.979,6.84,497.9,,0
2957,MQ-0134,Este,BM-500,tarde,37.0,4708.0,5,62.04,1.337,5.98,512.6,,0
3142,MQ-0148,Norte,TL-90,tarde,33.0,3514.0,2,71.39,2.584,6.74,576.8,,0
2308,MQ-0111,Norte,XR-350,mañana,44.0,5278.0,0,67.88,0.935,5.16,516.4,,0
3499,MQ-0157,Este,TL-90,tarde,27.0,4763.0,0,61.37,2.339,5.78,,,0
1223,MQ-0093,Este,TL-90,mañana,35.0,4450.0,0,60.95,3.315,6.23,469.8,,0
1338,MQ-0011,Oeste,TL-90,noche,27.0,3699.0,1,77.93,1.058,6.44,594.8,,0
2451,MQ-0102,Norte,XR-350,tarde,49.0,7387.0,4,61.02,1.656,7.52,543.8,,0
3740,MQ-0047,Sur,tl90,mañana,22.0,4169.0,1,82.11,0.974,5.88,553.7,,0
2975,MQ-0153,Norte,TL-90,mañana,84.0,14598.0,9,56.99,1.515,6.14,689.3,,0
4220,MQ-0126,Norte,TL-120,mañana,23.0,3305.0,1,69.43,1.212,5.2,571.0,,0
2845,MQ-0093,Sur,XR-350,mañana,28.0,3828.0,0,78.3,1.483,5.36,653.3,,0
2209,MQ-0032,Oeste, TL-120 ,mañana,13.0,2135.0,0,63.04,0.769,6.0,480.2,,0
1539,MQ-0044,Sur,XR 200,tarde,105.0,15185.0,1,83.95,0.918,6.67,773.8,,0
685,MQ-0002,Sur,XR 200,tarde,23.0,6475.0,1,65.29,2.808,5.24,542.5,,0
3587,MQ-0009,Sur,TL-120,tarde,25.0,8697.0,1,80.84,1.257,6.58,607.1,,0
591,MQ-0160,Norte,XR-350,mañana,11.0,50.0,1,67.29,1.882,5.39,,,0
2399,MQ-0114,Norte,TL 120,tarde,69.0,10948.0,3,77.75,2.678,7.36,,,0
1257,MQ-0092,Oeste,XR-350,tarde,16.0,5734.0,1,62.51,2.033,7.08,499.4,,0
761,MQ-0029,Norte,XR-200,tarde,74.0,12956.0,1,61.28,2.228,6.62,623.0,,0
2621,MQ-0119,Sur,XR-350,mañana,42.0,7886.0,1,64.45,2.275,6.37,563.8,,0
2687,MQ-0167,Norte,TL-120,mañana,28.0,4660.0,2,69.37,1.828,6.37,533.7,,0
616,MQ-0036,Norte,TL-120,noche,40.0,5947.0,0,68.71,,4.87,522.0,,0
916,MQ-0045,Norte,XR-350,tarde,43.0,6913.0,2,81.55,1.946,6.05,768.5,,0
1494,MQ-0110,Sur,XR-200,noche,64.0,10233.0,4,81.12,3.334,5.6,724.5,,0
2776,MQ-0008,Este,XR-200,tarde,57.0,7300.0,3,64.95,0.937,6.7,,,0
940,MQ-0151,Este,xr350,mañana,-50.0,8519.0,5,66.15,2.333,6.37,495.5,,0
3312,MQ-0052,Este,XR-200,noche,35.0,6690.0,2,84.36,,7.43,678.5,,0
2712,MQ-0085,Sur,XR-350,tarde,26.0,4328.0,0,65.52,1.946,6.94,524.4,,0
211,MQ-0157,Oeste,BM-500,mañana,62.0,8828.0,4,82.62,1.522,6.17,,,0
1909,MQ-0029,Sur,XR-200,tarde,10.0,777.0,0,60.3,1.848,6.17,294.2,,0
2585,MQ-0085,Sur,XR-200,mañana,44.0,6237.0,4,82.08,1.955,5.0,690.0,,0
3398,MQ-0069,Sur,XR-200,mañana,35.0,5857.0,1,,1.981,6.28,599.0,4604.98,1
88,MQ-0117,Sur,TL-90,tarde,15.0,717.0,1,61.78,1.704,5.7,405.1,,0
440,MQ-0136,Norte,XR 350,tarde,50.0,10542.0,0,68.01,2.613,5.7,657.9,,0
421,MQ-0088,Norte,TL-120,tarde,32.0,8800.0,1,63.04,1.628,5.9,624.3,,0
595,MQ-0172,Norte,XR-200,mañana,76.0,12537.0,2,65.96,1.456,6.11,674.5,,0
733,MQ-0092,Este,XR-200,tarde,19.0,2315.0,2,69.4,2.055,6.48,453.0,4741.83,1
518,MQ-0173,Este,XR-200,noche,45.0,6870.0,1,65.79,,6.79,564.8,,0
501,MQ-0017,Norte,XR-350,mañana,26.0,3315.0,1,86.78,1.241,7.0,565.8,,0
2465,MQ-0048,Este,xr200,mañana,30.0,6583.0,0,84.69,2.946,7.05,624.0,,0
4162,MQ-0145,Norte,XR-350,tarde,36.0,3327.0,2,84.98,2.276,6.02,632.0,,0
2357,MQ-0138,Este,XR-350,tarde,22.0,4381.0,2,76.27,1.743,6.53,597.1,,0
3397,MQ-0004,Sur,TL-90,tarde,20.0,3811.0,1,84.66,2.906,6.09,511.1,,0
3699,MQ-0111,Oeste,XR-200,mañana,86.0,13687.0,2,81.85,2.491,6.81,879.5,,0
877,MQ-0043,Norte,xr200,mañana,63.0,9269.0,6,61.83,1.93,5.47,529.2,,0
4130,MQ-0052,Este,TL-90,tarde,57.0,9439.0,3,55.54,0.997,5.91,511.7,,0
2444,MQ-0008,Norte,XR-350,mañana,41.0,8091.0,5,68.9,1.376,6.07,625.8,,0
1448,MQ-0034,Oeste,TL-120,mañana,35.0,2480.0,4,84.52,1.946,5.86,545.0,,0
3266,MQ-0161,Oeste,XR-200,mañana,51.0,6149.0,2,71.12,1.727,7.71,558.5,,0
1052,MQ-0033,Sur,XR-350,noche,65.0,9925.0,2,67.62,1.925,5.72,554.6,,0
3082,MQ-0003,Sur,XR 200,mañana,35.0,8810.0,0,75.54,2.536,7.14,639.9,,0
1622,MQ-0109,Sur,XR-200,noche,25.0,2764.0,2,82.42,1.177,5.11,673.2,,0
2535,MQ-0163,Sur,tl90,noche,34.0,4198.0,4,64.02,,6.28,523.0,,0
2568,MQ-0163,Este,BM-500,mañana,49.0,7120.0,3,71.62,1.29,6.03,622.2,,0
1926,MQ-0056,Norte,BM 500,noche,42.0,3723.0,5,61.19,0.861,5.23,,,0
2117,MQ-0131,Norte,TL-90,tarde,20.0,4593.0,0,88.09,1.048,6.1,604.0,,0
3945,MQ-0014,Norte,XR-350,tarde,42.0,9046.0,3,58.14,1.482,5.92,544.2,,0
637,MQ-0149,Norte,TL-90,noche,50.0,10767.0,1,64.71,,7.55,606.9,,0
1587,MQ-0017,Norte,XR-200,mañana,19.0,6677.0,1,62.83,1.24,5.28,494.0,,0
2432,MQ-0109,Este,XR-200,mañana,51.0,7477.0,1,69.43,1.709,5.82,591.0,,0
3294,MQ-0156,Norte,XR-350,mañana,6.0,2855.0,2,81.62,1.806,5.6,489.4,,0
2864,MQ-0017,Sur,TL 90,tarde,27.0,7812.0,1,91.81,6.375,5.07,638.1,3558.21,1
2259,MQ-0042,Oeste,TL-90,tarde,37.0,6675.0,4,82.55,2.237,5.77,723.8,,0
2606,MQ-0032,Norte,XR-350,tarde,44.0,8862.0,2,64.47,3.922,6.17,559.4,3358.18,1
1623,MQ-0001,Oeste,XR-350,mañana,39.0,5484.0,2,,1.613,6.16,717.7,,0
1011,MQ-0018,Este,TL-90,mañana,11.0,977.0,1,83.18,3.315,6.38,507.5,,0
4111,MQ-0171,Sur,xr200,noche,41.0,6132.0,2,72.72,,7.56,582.6,,0
1233,MQ-0060,Sur,XR-200,mañana,26.0,3683.0,0,86.38,1.586,5.68,537.7,,0
1901,MQ-0164,Norte,XR-350,mañana,26.0,3854.0,0,65.76,1.626,6.79,509.0,,0
2155,MQ-0180,Norte, XR-200 ,noche,34.0,4145.0,1,79.09,,6.26,547.1,,0
2135,MQ-0178,Norte,XR-200,mañana,89.0,14323.0,1,85.61,1.719,6.95,813.4,,0
2745,MQ-0155,Este,XR-350,noche,37.0,4894.0,1,68.24,2.694,6.55,450.8,,0
3525,MQ-0003,Norte,XR-350,noche,37.0,995.0,1,63.77,,6.32,371.4,,0
1904,MQ-0051,Sur,tl90,tarde,14.0,2531.0,0,83.21,1.349,6.49,615.0,,0
1392,MQ-0018,Oeste,tl90,tarde,50.0,8574.0,3,65.88,1.881,5.17,616.3,,0
1245,MQ-0018,Oeste,TL-120,mañana,50.0,9012.0,2,66.88,1.744,4.73,604.9,,0
1783,MQ-0031,Este,XR-350,noche,74.0,10365.0,5,65.72,2.687,6.11,559.0,,0
2055,MQ-0141,Sur,TL-120,mañana,41.0,6102.0,1,65.15,1.878,5.22,519.5,,0
3626,MQ-0160,Norte,xr350,noche,35.0,6584.0,0,89.49,0.923,6.31,645.1,,0
3114,MQ-0128,Este,tl90,mañana,62.0,7768.0,5,85.44,3.43,5.86,650.9,5137.71,1
4184,MQ-0141,Norte,XR-200,mañana,51.0,8417.0,2,61.68,1.688,6.45,556.5,,0
1097,MQ-0175,Norte,XR 350,mañana,121.0,20683.0,8,63.31,3.514,6.26,701.7,1617.12,1
3256,MQ-0018,Este,tl90,mañana,25.0,3983.0,0,68.22,1.612,6.26,568.4,,0
3942,MQ-0141,Sur,TL-120,tarde,29.0,4667.0,1,70.43,1.976,6.1,516.2,,0
1083,MQ-0149,Oeste,BM 500,tarde,21.0,5327.0,1,62.36,2.687,7.03,352.6,,0
3343,MQ-0095,Norte, TL-120 ,mañana,28.0,4375.0,0,68.49,3.023,5.46,457.1,,0
841,MQ-0013,Este,TL-120,mañana,28.0,1839.0,3,63.78,0.743,-1.0,415.8,,0
3111,MQ-0154,Norte,BM-500,mañana,24.0,1261.0,3,65.92,1.361,6.51,397.0,,0
4146,MQ-0131,Este,TL-120,tarde,43.0,9101.0,2,69.75,1.764,5.95,691.1,,0
